全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説
1,医療概論,1,第32回,問題1,1 現代の医療と社会,A. 医療と社会,医療法において、地域の医療従事者の研修実施が規定されているのはどれか。,1. 介護老人保健施設,2. 地域医療支援病院,3. 特定機能病院,4. 臨床研究中核病院,2,"医療法で、地域の医療従事者の資質向上のための研修を行う能力を有することが定められているのは**地域医療支援病院**である。医療法において、**特定機能病院**は、高度な医療技術の開発および評価を行う能力を有することや、高度な医療を提供、高度な医療に関する研修を行うなどと規定されている。**臨床研究中核病院**は、先進的な医療設備を有し、質の高い医療サービスの提供能力があること、研究施設や実験設備が整い、臨床試験を管理運営する体制があることなどが医療法で定められている。"
2,医療概論,2,第34回,問題1,1 現代の医療と社会,A. 医療と社会,我が国の2023年度の指定難病において、受給者証所持者数が最も多いのはどれか。,1. パーキンソン病,2. 潰瘍性大腸炎,3. 全身性エリテマトーデス,4. クローン病,1,"厚生労働省衛生行政報告例によると、2023年度の**受給者証所持者数**は、**パーキンソン病**で147,481名、潰瘍性大腸炎は146,702名、全身性エリテマトーデスは66,307名、クローン病は52,108名である。"
3,医療概論,3,第25回,問題1,1 現代の医療と社会,B. 医療従事者,急性期病院からの退院支援において、患者および家族と相談する際に同席すべき院内の職種として最もふさわしいのはどれか。,1. 保健師,2. 臨床心理士,3. 管理栄養士,4. 医療ソーシャルワーカー,4,患者が抱えるさまざまな問題を総合的に理解し、質の高い医療を提供するために、**チーム医療**の体制が一般化しつつある。チーム医療において、**1：保健師**は対人医療分野で、患者に対する**保健指導**や**療養上の指導**などを行う。**3：管理栄養士**は専門的知識や技術を要する**栄養指導**や**給食管理**などを行う。**2：臨床心理士**は**心理療法**や**精神科リハビリテーション**を行う。**4：医療ソーシャルワーカー**は**社会保障**や**社会福祉制度**に関する**相談**や**調整**を行う。以上のことから、最もふさわしいのは4となる。なお、臨床心理士と医療ソーシャルワーカーは、**法律に規定されていない職種**である。
4,医療概論,4,第32回,問題4,1 現代の医療と社会,B. 医療従事者,ケアプランを作成できる職種はどれか。,1. 社会福祉士,2. ホームヘルパー,3. 介護支援専門員,4. 医療ソーシャルワーカー,3,**介護支援専門員（ケアマネジャー）**は、要支援・要介護認定者およびその家族から相談を受け、ケアプラン（介護サービスの給付計画）の作成、要介護認定の申請を行う。社会福祉士は、医療・福祉・教育・行政機関等にて、日常生活を営むのに支障がある人の福祉に関する相談に応じ、助言や指導、援助を行う。ホームヘルパーは、訪問介護員ともいい、訪問介護を行う者をいう。他、問題3の解説も参照。
5,医療概論,5,第31回,問題1,1 現代の医療と社会,B. 医療従事者,多職種連携によるチーム医療について望ましいのはどれか。,1. リーダーを特定の職種に固定する。,2. 職種間で目的と情報を共有する。,3. 他の職種の業務内容に立ち入らない。,4. 患者・家族は参加しない。,2,**チーム医療**とは、「医療に従事する多種多様な医療スタッフが、各々の高い専門性を前提に、目的と情報を共有し、業務的分担をしつつも互いに連携・補完し合い、患者の状況的には的確に対応した医療を提供すること」と一般的に理解されている（平成22年 厚生労働省 チーム医療の推進について）。
6,医療概論,6,第32回,問題3,1 現代の医療と社会,B. 医療従事者,チーム医療を推進するのに望ましくないのはどれか。,1. 職種による専門性,2. 職種間の情報共有,3. 職種間の上下関係,4. 職種による業務分担,3,問題5の解説を参照。
7,医療概論,7,第34回,問題3,1 現代の医療と社会,B. 医療従事者,名称独占に加えて、業務独占を伴う医療従事者はどれか。,1. 理学療法士,2. 作業療法士,3. 保健師,4. 看護師,4,国家資格は、**業務独占資格**、**名称独占資格**、設置義務資格に分類される。業務独占資格は、特定の業務について、資格を有する者のみがその業務に従事することを認められている資格をいう。医師、歯科医師、薬剤師、看護師などがこれに該当する。名称独占資格とは、特定の名称について、資格を有する者のみがその名称を用いることができる資格をいう。理学療法士、作業療法士、保健師などが該当する。医師、薬剤師、**看護師**は業務独占資格であり、名称独占資格でもある。
8,医療概論,8,第27回,問題1,1 現代の医療と社会,C. 医療・福祉施設,介護及び機能訓練その他必要な医療並びに日常の世話を行うことを目的とするのはどれか。,1. 介護老人保健施設,2. 介護老人福祉施設,3. 地域包括ケア病棟,4. グループホーム,1,1：介護老人保健施設は、病院を退院した高齢者を対象に、家庭復帰までのケアを行う中間施設。**リハビリテーション**、**看護**、**医学的管理に基づく介護**などが行われる。2：介護老人福祉施設は常時介護を必要とする高齢者を入所させる施設で、**生活介護が中心**となる。3：地域包括ケア病棟は、急性期の治療が終了し、病状が安定した患者に対し在宅復帰に向けて**診療**、**看護**、**リハビリ**が行われる。4：グループホームは、住宅で数人の心身障害者や高齢者などが共同生活する形態であり、食事提供や相談など**日常生活援助**が行われる。
9,医療概論,9,第28回,問題1,1 現代の医療と社会,C. 医療・福祉施設,要介護者に対して、居宅、通所、短期間宿泊により、入浴、排泄、食事等の介護、その他の日常生活上の世話や機能訓練を行うのはどれか。,1. 小規模多機能型居宅介護,2. 認知症対応型共同生活介護,3. 定期巡回・随時対応型訪問介護看護,4. 地域密着型通所介護,1,2：認知症対応型共同生活介護（グループホーム）は、認知症を持つ高齢者が9人以下で共同生活する住居におけるサービスである。3：定期巡回・随時対応型訪問介護看護は重度者を一意とした要介護高齢者の在宅生活を支えるため、24時間対応で訪問介護と訪問看護が密接に連携しながら随時対応を行うもの。4：地域密着型通所介護のサービスに、宿泊は含まない。
10,医療概論,10,第29回,問題3,1 現代の医療と社会,C. 医療・福祉施設,地域医療計画の策定における第三次医療圏の圏域に相当するのはどれか。,1. 市町村単位,2. 広域市町村単位,3. 都道府県単位,4. 広域都道府県単位,3,**医療圏**とは**医療法**によって定められた都道府県が制定する病床整備のための単位である。**第一次医療圏**は一般的な疾病の診断・治療に対応するために設置された地域医療単位で、**市町村**が圏域となる。**二次医療圏**は疾病予防から入院治療まで一般的な医療を提供する区域で、**複数の市町村**が圏域となる。**三次医療圏**は精神病棟や感染症病棟、結核病棟などの専門的な医療、または高度で最先端の医療を提供する医療圏のことで、**都道府県**が圏域とされる。
